라면,돌냄비우동,1인분,566
밥,돌솥비빔밥,,555
김치,동치미,1인분,87
국,동태국,1인분,230
찌개,동태찌개,1인분,168
찜,동태찜,1인분,196
찜,돼지갈비찜,1인분,246
볶음,돼지고기고추장볶음,1인분,216
조림,돼지고기장조림,1인분,159
밥,돼지국밥,,467
찌개,된장찌개,1인분,159
나물,두릅나물,1인분,41
밥,두부덮밥,,420
국,두부된장국,1인분,221
찌개,두부된장찌개,1인분,119
조림,두부양념조림,1인분,122
조림,두부조림,1인분,229
음료,두유음료,1병,118
과일,딸기,1개,39
국,떡국,1인분,420
라면,라면,1인분,562
면,라자냐,,583
빵,롤케익,1인분,256
과자,롯데포비,1봉,281
과자,리츠크래커,1봉,507
빵,링도너츠,1인분,165
과자,마가렛트,1봉,92
빵,마늘바게뜨,1인분,400
볶음,마늘쫑볶음,1인분,84
조림,마늘쫑조림,1인분,79
볶음,마른새우볶음,1인분,129
밥,마파두부밥,,658
주류,막걸리,1컵(200cc),110
국,만두국,1인분,400
과자,맛동산,1봉,720
빵,맥도널드버거,1인분,260
주류,맥주,1컵(200cc),95
조림,메추리알조림,1인분,100
과일,멜론,1개,32
볶음,멸치볶음,1인분,83
과자,모나카,1봉,341
라면,모밀국수,1인분,460
국,모시조개미역국,1인분,50
빵,모카빵,1인분,364
과자,몽쉘통통,1봉,170
나물,무말랭이무침,1인분,112
국,무새우젓국,1인분,68
나물,무생채,1인분,49
나물,무숙채,1인분,146
주류,문배주,1잔(50cc),140
라면,물냉면,1인분,446
볶음,물오징어볶음,1인분,202
나물,미나리나물,1인분,37
국,미역국,1인분,204
나물,미역오이초무침,1인분,21
죽,미역죽,,193
라면,미트소스 스파게티,1인분,584
구이,민물장어간장구이,1인분,137
과일,바나나,1개,112
과자,바나나킥,1봉,201
밥,밤밥,1인분,329
과일,배,1개,156
김치,배추김치,1인분,90
국,배추된장국,1인분,73
김치,백김치,1인분,95
떡,백설기,1쪽,234
주류,백포도주(마주앙),1잔(150cc),140
구이,뱅어포구이,1인분,122
볶음,뱅어포볶음,1인분,204
빵,버거킹버거,1인분,310
밥,버섯덮밥,,431
죽,버섯리조또,,445
죽,버섯죽,,225
볶음,버섯줄기볶음,1인분,111
과자,버터코코넛,1봉,561
빵,버터크림빵,1인분,274
빵,버터토스트,1인분,204
구이,병어구이,1인분,108
튀김,병어튀김,1인분,205
밥,보리밥,1인분,294
김치,보쌈김치,1인분,76
과일,복숭아,1개,33
찌개,부대고기찌개,1인분,456
전,부추파전,1인분,153
국,북어국,1인분,272
찜,북어찜,1인분,230
구이,불고기구이,1인분,150
음료,블랙커피,1컵,6.3
라면,비빔국수,1인분,687
